city_id,city_name,state_name
1,Delhi,Delhi
2,Mumbai,Maharashtra
3,Kolkata,West Bengal
4,Bangalore,Karnataka
5,Chennai,Tamil Nadu
6,Hyderabad,Telangana
7,Pune,Maharashtra
8,Ahmedabad,Gujarat
9,Surat,Gujarat
10,Lucknow,Uttar Pradesh
11,Jaipur,Rajasthan
12,Kanpur,Uttar Pradesh
13,Mirzapur,Uttar Pradesh
14,Nagpur,Maharashtra
15,Ghaziabad,Uttar Pradesh
16,Supaul,Bihar
17,Vadodara,Gujarat
18,Rajkot,Gujarat
19,Vishakhapatnam,Andhra Pradesh
20,Indore,Madhya Pradesh
21,Thane,Maharashtra
22,Bhopal,Madhya Pradesh
23,Pimpri-Chinchwad,Maharashtra
24,Patna,Bihar
25,Bilaspur,Chhattisgarh
26,Ludhiana,Punjab
27,Agra,Uttar Pradesh
28,Madurai,Tamil Nadu
29,Jamshedpur,Jharkhand
30,Prayagraj,Uttar Pradesh
31,Nasik,Maharashtra
32,Faridabad,Haryana
33,Meerut,Uttar Pradesh
34,Jabalpur,Madhya Pradesh
35,Kalyan,Maharashtra
36,Vasai-Virar,Maharashtra
37,Najafgarh,Delhi
38,Varanasi,Uttar Pradesh
39,Srinagar,Jammu and Kashmir
40,Aurangabad,Maharashtra
41,Dhanbad,Jharkhand
42,Amritsar,Punjab
43,Aligarh,Uttar Pradesh
44,Guwahati,Assam
45,Haora,West Bengal
46,Ranchi,Jharkhand
47,Gwalior,Madhya Pradesh
48,Chandigarh,Punjab
49,Haldwani,Uttarakhand
50,Vijayawada,Andhra Pradesh
51,Jodhpur,Rajasthan
52,Raipur,Chhattisgarh
53,Kota,Rajasthan
54,Bareilly,Uttar Pradesh
55,Coimbatore,Tamil Nadu
56,Solapur,Maharashtra
57,Hubli,Karnataka
58,Trichinopoly,Tamil Nadu
59,Moradabad,Uttar Pradesh
60,Tiruppur,Tamil Nadu
61,Gurgaon,Haryana
62,Jalandhar,Punjab
63,Bhubaneshwar,Odisha
64,Bhayandar,Maharashtra
65,Patiala,Punjab
66,Shishgarh,Uttar Pradesh
67,Thiruvananthapuram,Kerala
68,Bhiwandi,Maharashtra
69,Saharanpur,Uttar Pradesh
70,Warangal,Telangana
71,Shiliguri,West Bengal
72,Salem,Tamil Nadu
73,Kochi,Kerala
74,Dhulia,Maharashtra
75,Gorakhpur,Uttar Pradesh
76,Guntur,Andhra Pradesh
77,Bhangar,West Bengal
78,Narela,Delhi
79,Karaikandi,Assam
80,Bhavnagar,Gujarat
81,Noida,Uttar Pradesh
